;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44
acc_x;MIDASIS_y;PO_y;SHO_y;c7_y;l_asis_y;l_heel_y;l_mall_y;r_asis_y;r_force_z;r_heel_y;r_mall_y;r_should_y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
acc_y;l_heel_y;l_knee_1_y;l_mall_y;r_force_x;r_force_y;r_heel_y;r_knee_1_y;r_mall_y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
acc_z;MIDASIS_y;PO_y;SHO_y;c7_y;l_asis_y;l_knee_1_y;l_should_y;r_asis_y;r_knee_1_y;r_should_y;sacrum_s_y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gyro_x;l_force_y;l_force_z;l_knee_1_y;l_met_y;r_force_x;r_force_y;r_heel_x;r_knee_1_y;r_mall_x;r_met_x;r_met_y;r_met_z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gyro_y;MIDASIS_y;PO_y;SHO_y;c7_y;l_asis_y;l_knee_1_y;l_should_y;r_asis_y;r_force_z;r_should_y;sacrum_s_y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gyro_z;l_force_z;l_knee_1_y;l_met_y;r_force_x;r_force_y;r_knee_1_y;r_mall_x;r_met_x;r_met_y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
roll;l_force_z;r_heel_y;r_knee_1_y;r_mall_y;r_should_y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pitch;MIDASIS_y;PO_y;SHO_y;c7_y;l_asis_y;l_knee_1_y;r_asis_y;r_should_y;sacrum_s_y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yaw;MIDASIS_y;PO_y;l_force_y;l_force_z;l_heel_y;l_mall_y;l_met_z;l_should_x;r_asis_y;r_force_y;r_force_z;r_heel_y;r_mall_y;r_should_y;sacrum_s_x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vel_x;MIDASIS_x;MIDASIS_y;MIDASIS_z;PO_x;PO_y;PO_z;SHO_x;SHO_y;SHO_z;c7_x;c7_z;l_asis_x;l_asis_y;l_asis_z;l_force_x;l_heel_x;l_heel_z;l_knee_1_x;l_knee_1_z;l_mall_x;l_mall_z;l_met_x;l_met_z;l_should_x;l_should_y;l_should_z;r_asis_x;r_asis_z;r_force_y;r_heel_x;r_heel_z;r_knee_1_x;r_knee_1_y;r_knee_1_z;r_mall_x;r_mall_z;r_met_x;r_met_y;r_met_z;r_should_x;r_should_z;sacrum_s_x;sacrum_s_y;sacrum_s_z;
vel_y;MIDASIS_x;MIDASIS_y;MIDASIS_z;PO_x;PO_y;PO_z;SHO_x;SHO_y;SHO_z;c7_x;c7_y;c7_z;l_asis_x;l_asis_y;l_asis_z;l_heel_x;l_heel_y;l_heel_z;l_knee_1_x;l_knee_1_y;l_knee_1_z;l_mall_x;l_mall_z;l_met_x;l_met_z;l_should_x;l_should_y;l_should_z;r_asis_x;r_asis_y;r_asis_z;r_force_z;r_heel_y;r_heel_z;r_knee_1_x;r_knee_1_z;r_mall_y;r_mall_z;r_met_z;r_should_x;r_should_y;r_should_z;sacrum_s_y;sacrum_s_z;
vel_z;MIDASIS_x;MIDASIS_y;MIDASIS_z;PO_x;PO_y;PO_z;SHO_x;SHO_y;SHO_z;c7_x;c7_y;c7_z;l_asis_x;l_asis_y;l_asis_z;l_force_x;l_heel_x;l_heel_z;l_knee_1_x;l_knee_1_z;l_mall_x;l_mall_z;l_met_x;l_met_z;l_should_x;l_should_y;l_should_z;r_asis_x;r_asis_z;r_force_y;r_heel_x;r_heel_z;r_knee_1_x;r_knee_1_y;r_knee_1_z;r_mall_x;r_mall_z;r_met_x;r_met_y;r_met_z;r_should_x;r_should_z;sacrum_s_x;sacrum_s_y;sacrum_s_z
ang_acc_gyro_x;l_heel_y;r_asis_y;r_heel_y;r_mall_y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ang_acc_gyro_y;c7_y;l_asis_y;l_heel_y;l_mall_y;r_force_z;sacrum_s_y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ang_acc_gyro_z;l_heel_y;l_mall_y;r_heel_y;r_mall_y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mag_acc;MIDASIS_y;PO_y;SHO_y;c7_y;l_asis_y;l_heel_y;l_mall_y;r_asis_y;r_force_z;r_heel_y;r_mall_y;r_should_y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mag_gyro;l_force_z;l_knee_1_y;l_met_y;r_force_x;r_force_y;r_heel_x;r_knee_1_y;r_mall_x;r_met_x;r_met_y;r_met_z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jerk_x;MIDASIS_y;PO_y;SHO_y;c7_y;l_asis_y;l_knee_1_y;l_should_y;r_asis_y;r_knee_1_y;sacrum_s_y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pos_x;MIDASIS_y;PO_y;SHO_y;c7_y;l_asis_y;l_heel_y;l_mall_y;r_asis_y;r_force_z;r_heel_y;r_mall_y;r_should_y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pos_y;l_heel_y;l_knee_1_y;l_mall_y;r_force_x;r_force_y;r_heel_y;r_knee_1_y;r_mall_y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pos_z;MIDASIS_y;PO_y;SHO_y;c7_y;l_asis_y;l_knee_1_y;l_should_y;r_asis_y;r_knee_1_y;r_should_y;sacrum_s_y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
